timestamp,question,response,question_sentiment,response_sentiment
2024-12-19 02:10:18.149362,What is the leave policy?,The leave policy is that employees are entitled to 10 days of paid leave per year.,0.0,0.0
2024-12-19 02:29:07.089436,What employee benefits does the company offer?,"The company offers healthcare, wellness, and travel reimbursement programs as employee benefits.",0.0,0.1
2024-12-19 02:29:49.348764,What is the onboarding process for new employees?,The onboarding process for new employees involves completing HR forms and setting up accounts with IT.,0.13636363636363635,0.13636363636363635
2024-12-19 02:30:35.820984,Can I take sick leave anytime during the year?,"No, according to the document provided, the leave policy only mentions paid leave, not specifically sick leave. It would be best to refer to the company's specific sick leave policy or discuss with HR for clarification on sick leave entitlement and usage.",-0.7142857142857143,-0.19047619047619047
2024-12-19 02:31:24.714039,Does the company offer wellness programs?,"Yes, the company does offer wellness programs.",0.0,0.0
2024-12-19 02:31:52.495662,Do I need to complete any forms during onboarding?,"Yes, according to the document, new employees must complete HR forms during the onboarding process.",0.1,0.11818181818181818
2024-12-19 02:32:18.504993,How do I apply for paid leave?,"To apply for paid leave, you typically need to follow the company's established procedures. This may involve submitting a request through your company's HR system, filling out a leave request form, or notifying your manager or HR department in advance. It's important to familiarize yourself with your company's specific policies and guidelines regarding the application process for paid leave. If you need further clarification or assistance, feel free to reach out to your HR department for guidance.",0.0,0.12666666666666668
2024-12-19 11:25:30.705922,How do I apply for paid leave?,"To apply for paid leave, you typically need to follow the procedures outlined in your company's leave policy. This may involve submitting a leave request through your company's HR system or directly to your supervisor or HR department. If you are unsure of the specific steps to take, I recommend reaching out to your HR department for guidance on how to apply for paid leave.",0.0,-0.022222222222222216
2024-12-19 23:45:17.051951,What is the leave policy?,The leave policy is that employees are entitled to 10 days of paid leave per year.,0.0,0.0
2024-12-20 00:54:02.765415,What is the leave policy?,The leave policy is that employees are entitled to 10 days of paid leave per year.,0.0,0.0
2024-12-20 01:40:36.235084,What is the leave policy?,The leave policy is that employees are entitled to 10 days of paid leave per year.,0.0,0.0
2024-12-20 01:59:29.091348,What is the leave policy?,The leave policy is that employees are entitled to 10 days of paid leave per year.,0.0,0.0
2024-12-20 02:03:08.500328,"""What is the leave policy?",The leave policy states that employees are entitled to 10 days of paid leave per year.,0.0,0.0
2024-12-20 02:09:51.693794,what is my above question,Your question seems to be asking for clarification or confirmation about the content of the document mentioned.,0.0,0.0
2024-12-20 02:10:29.588393,what is your name,My name is HR Assistant. How can I assist you today?,0.0,0.0
2024-12-20 02:10:47.751288,what you can do,"Based on the information provided in the document, I can assist you with any questions or inquiries you may have regarding the employee benefits offered by the company. Whether you need more details about the healthcare, wellness, or travel reimbursement programs, I am here to help provide you with the information you need. Feel free to ask any specific questions you may have about the employee benefits mentioned in the document.",0.0,0.3
2024-12-21 17:14:48.102497,What is the onboarding process for new employees?,The onboarding process for new employees involves completing HR forms and setting up accounts with IT.,0.13636363636363635,0.13636363636363635
2024-12-21 17:23:05.549507,Does the company offer wellness programs?,"Yes, the company offers wellness programs as mentioned in the document.",0.0,0.1
2024-12-21 17:35:18.138727,",What employee benefits does the company offer?","The company offers healthcare, wellness, and travel reimbursement programs as employee benefits.",0.0,0.1
